State,2014,2014.25,2014.5,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4
Alabama,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,193112.6,194227.5,194380.5,195414.6,196746.6,197019.3,197409.4,199091.2,200256.3,200910.3,200447.3,201589.7
Alaska,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,55065.2,54197.5,53849.2,53874.6,53917.9,54028.7,54565.4,54006.1,53399.8,53146.8,53126.2,53325.6
Arizona,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,286940.7,289953.3,293674.5,294532.4,298151.1,299978.6,304949.9,306741.9,311176.5,312426.5,314699.3,316172.6
Arkansas,110925.0,111544.9,112045.8,112422.3,111583.0,112224.6,112863.5,112732.8,112424.3,112549.8,112484.3,113734.1,113269.2,113540.1,113798.4,114932.9,115453.5,115608.3,116117.6,116571.0
California,2216087.8,2241222.5,2281298.4,2285610.2,2332010.5,2362335.5,2365812.5,2369653.2,2406765.8,2406800.8,2441320.6,2456691.1,2485233.7,2523632.7,2560373.5,2597837.2,2601862.5,2637537.5,2661741.3,2673163.7
Colorado,292113.6,295755.1,300430.9,306321.4,309642.5,311206.2,313371.0,315418.9,314964.4,316105.6,320509.4,324234.0,325022.1,327221.2,331771.7,335827.5,338845.7,341446.9,343027.3,346823.8
Connecticut,231554.2,234565.8,237162.3,239841.4,242291.6,243542.0,242306.5,242686.1,243591.8,242970.3,242690.1,243894.5,244002.1,248024.7,248690.0,248717.3,249498.2,248501.8,251914.2,250078.2
Delaware,62662.9,64638.8,65972.4,66486.2,67205.5,68348.4,66082.5,65537.4,63568.9,63407.0,62664.9,62364.6,61968.5,60217.7,60623.7,60395.1,60748.3,61209.5,62396.7,62586.0
District of Columbia,113984.1,114015.6,114779.9,115434.6,116180.5,117151.9,116762.1,117138.9,119484.1,119775.1,119301.7,120016.2,119584.4,120130.7,122054.8,121825.6,122470.1,123452.6,124831.1,124590.7
Florida,803195.1,813239.5,822440.7,830058.9,837596.7,849477.1,856691.9,865203.9,866000.7,876557.1,889224.6,894374.5,903385.0,908335.7,914519.1,925624.9,936276.2,939012.9,948431.9,950132.6
Georgia,462157.1,468677.1,473428.0,475776.8,482476.9,488730.0,491353.8,494168.7,502057.8,504413.9,507874.8,512918.2,519712.1,521454.7,525299.8,533032.2,531915.0,537541.1,542484.6,545260.6
