State,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2014_unemp,2015_unemp,2016_unemp,2017_unemp,2018_unemp,2018_health,2017_health,2016_health,2015_health,2014_health,2018_edu,2017_edu,2016_edu,2015_edu,2014_edu,2018_crime,2017_crime,2016_crime,2015_crime,2014_crime,2014_total,2015_total,2016_total,2017_total,2018_total,2014_rank,2015_rank,2016_rank,2017_rank,2018_rank,2014,2015,2016,2017,2018
AL,0.07227832219673505,0.06967049560278378,0.06874153978169796,0.06689801667988562,0.06548859070102796,-0.7884615384615383,-0.8048780487804876,-0.725,-0.43478260869565233,-0.3571428571428572,0.5,0.541095890410959,0.5248226950354606,0.4788732394366194,0.4522292993630573,0.22762148337595908,0.23180592991913754,0.24444444444444446,0.27223719676549857,0.24581005586592183,-0.4644672918314315,-0.455503911121188,-0.37832329782306623,-0.3078794196855182,-0.28517543859649125,-0.3033192996323154,-0.291976536661104,-0.26531461856146316,-0.05048668280685825,-0.028500074897301608,41.0,43.0,44.0,42.0,44.0,3,3,3,3,3
AK,0.011349082834292347,0.011004349623182806,0.010355895593613794,0.009803361278960466,0.009041167770018201,-0.8076923076923077,-0.9024390243902438,-1.0,-1.0,-1.0,0.38000000000000017,0.23972602739726012,0.14893617021276562,0.17605633802816897,0.10191082802547742,0.21483375959079284,0.24797843665768196,0.22499999999999995,0.21832884097035035,0.23463687150837997,-0.8809174104620947,-0.8344858859539734,-0.6304770727188513,-0.5318391104161238,-0.4674561403508772,-0.9272516656750351,-1.0288886061846654,-1.246185006912472,-1.336978060620071,-1.2770424831012837,51.0,51.0,51.0,51.0,51.0,3,3,3,3,3
AZ,0.11136994925818682,0.1088580670158398,0.1091801363853873,0.10864863096784731,0.10864832892042453,-0.7884615384615383,-0.8048780487804876,-0.6250000000000001,-0.5434782608695654,-0.5714285714285715,0.4733333333333339,0.5068493150684933,0.4680851063829785,0.4154929577464792,0.34394904458598696,0.05115089514066497,0.08625336927223719,0.044444444444444384,0.05929919137466305,0.06145251396648043,-0.4109140210145746,-0.43657181725427957,-0.3214451134784623,-0.253844149074798,-0.25447368421052635,-0.5261637148614104,-0.4750719817183036,-0.3247354262656522,-0.27829876281526716,-0.3492100350487227,48.0,46.0,46.0,48.0,48.0,3,3,3,3,3
AR,0.03718769637340566,0.03574741831216109,0.03476774941513376,0.03358888690407355,0.03302317300276871,-0.6346153846153846,-0.5365853658536585,-0.275,-0.282608695652174,-0.30952380952380965,0.626666666666667,0.6438356164383562,0.6099290780141843,0.5352112676056333,0.4649681528662422,0.32992327365728913,0.3611859838274934,0.336111111111111,0.34231805929919124,0.3491620111731844,-0.5079652016721274,-0.5049314136719193,-0.39861046780917087,-0.3503605247154895,-0.3312280701754386,-0.11452559437799087,0.026330854647837687,0.30719747073125814,0.25107037784582975,0.17212410213078777,39.0,36.0,28.0,31.0,36.0,3,3,2,2,3
CA,1.0,1.0,1.0,1.0,1.0,-0.923076923076923,-0.8292682926829268,-0.65,-0.5217391304347826,-0.4285714285714287,0.7,0.6986301369863012,0.6524822695035456,0.5985915492957745,0.4203821656050955,0.5217391304347827,0.5660377358490568,0.5305555555555554,0.5283018867924528,0.5335195530726257,-0.37905321432606487,-0.3771681215281715,-0.2971746178786475,-0.2678307705672835,-0.257719298245614,0.7731054973551841,1.029794372838017,1.2358632071804534,1.3657606208724038,1.4141144875372893,5.0,2.0,2.0,1.0,1.0,1,1,1,1,1
CO,0.12111620472066557,0.12167095236717287,0.12071996613447582,0.11959700325414073,0.11971093167879128,-0.44230769230769224,-0.26829268292682923,-0.07500000000000007,-0.0652173913043479,-0.2142857142857143,0.6666666666666666,0.678082191780822,0.6312056737588649,0.626760563380282,0.5414012738853508,0.46803069053708446,0.4986522911051215,0.49444444444444446,0.504043126684636,0.5251396648044694,-0.3270816856852333,-0.2852284321505498,-0.20389069013432146,-0.1763530536009035,-0.18000000000000002,0.5653494511027934,0.8078289059043582,0.9674793942034637,0.9458856626851864,0.7130408889115948,13.0,6.0,6.0,8.0,15.0,1,1,1,1,1
CT,0.0928852656163081,0.09173405167246472,0.08917228914480932,0.08671751506808036,0.08430953741868802,-0.7499999999999999,-0.7073170731707317,-0.5499999999999999,-0.5000000000000001,-0.40476190476190477,0.826666666666667,0.8082191780821921,0.8297872340425527,0.7676056338028171,0.7707006369426753,0.2557544757033248,0.3045822102425877,0.2833333333333333,0.3045822102425875,0.31843575418994424,-0.11027002598576431,-0.12311529305067452,-0.09606299212598424,-0.0873077925462601,-0.11921052631578948,0.31281113043313824,0.3692970300008776,0.5562298643947112,0.5764036103421856,0.6516987490410107,20.0,21.0,18.0,19.0,17.0,2,2,2,2,1
DE,0.016176726273950524,0.016180840902810814,0.01400599963787579,0.012459018984008445,0.012287401577966059,-0.5769230769230769,-0.5121951219512195,-0.4,-0.4565217391304348,-0.33333333333333337,0.7933333333333337,0.8082191780821921,0.7659574468085107,0.802816901408451,0.7452229299363056,1.0,1.0,1.0,1.0,1.0,-0.3508078183256129,-0.38170275478970644,-0.3575729504400185,-0.3309877508470159,-0.3381578947368421,0.8463186845503371,0.9758148695130263,1.022390496006368,0.9824537031460592,1.1214795832523534,2.0,4.0,4.0,4.0,4.0,1,1,1,1,1
DC,0.03845346628635723,0.03766182373651202,0.03762211203676085,0.036380676559273316,0.036044843304596993,-0.9807692307692306,-1.0,-0.7999999999999999,-0.8043478260869565,-0.761904761904762,0.9666666666666667,0.945205479452055,0.8936170212765957,0.9366197183098588,0.8662420382165608,0.23273657289002556,0.2560646900269542,0.21666666666666667,0.2371967654986522,0.22625698324022353,-1.0,-1.0,-1.0,-1.0,-1.0,-0.849816743026089,-0.7885216924549769,-0.6520942000199768,-0.566696980048674,-0.5264566790434727,50.0,50.0,50.0,50.0,50.0,3,3,3,3,3
FL,0.3539608898626729,0.35352462069040674,0.35527867329914115,0.35166040229160617,0.3496025512862688,-0.6923076923076922,-0.6585365853658536,-0.475,-0.39130434782608703,-0.2857142857142858,0.3,0.3082191780821916,0.29078014184397133,0.25352112676056293,0.15923566878980902,0.2710997442455243,0.28840970350404316,0.26944444444444443,0.2776280323450134,0.2765363128491621,-0.3094565585809513,-0.3259267656728262,-0.2829087540528022,-0.298757710016506,-0.3125438596491228,-0.215118680455171,-0.0726205155863765,0.15759450553475474,0.23105817037892773,0.3255314512365561,40.0,39.0,34.0,34.0,29.0,3,3,2,2,2
