Amount_Requested,Application_Date,Loan_Title,Risk_Score,Debt_to_Income_Ratio,Zip_Code,State,Employment_Length,Policy_Code
1000.0,2016-04-01,other,,2.69%,331xx,FL,< 1 year,0.0
4000.0,2016-04-01,debt_consolidation,,28.26%,834xx,ID,< 1 year,0.0
5000.0,2016-04-01,moving,,-1%,648xx,MO,,0.0
1000.0,2016-04-01,moving,628.0,21.43%,380xx,TN,< 1 year,0.0
3000.0,2016-04-01,Debt consolidation,,8.49%,895xx,NV,2 years,2.0
20000.0,2016-04-01,credit_card,,34.6%,486xx,MI,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,0%,606xx,IL,< 1 year,0.0
1200.0,2016-04-01,other,,7.49%,787xx,TX,< 1 year,0.0
2500.0,2016-04-01,home_improvement,,30.38%,782xx,TX,5 years,0.0
4000.0,2016-04-01,debt_consolidation,,18.93%,935xx,CA,< 1 year,0.0
4000.0,2016-04-01,debt_consolidation,,24.86%,852xx,AZ,< 1 year,0.0
1000.0,2016-04-01,home_improvement,,14.91%,752xx,TX,< 1 year,0.0
11000.0,2016-04-01,debt_consolidation,,33.34%,018xx,MA,< 1 year,0.0
30000.0,2016-04-01,home_improvement,,5.15%,212xx,MD,< 1 year,0.0
1500.0,2016-04-01,moving,,24.74%,711xx,LA,< 1 year,0.0
5000.0,2016-04-01,medical,,10.08%,939xx,CA,< 1 year,0.0
35000.0,2016-04-01,debt_consolidation,,3.06%,750xx,TX,< 1 year,0.0
8000.0,2016-04-01,major_purchase,,16.28%,908xx,CA,< 1 year,0.0
5000.0,2016-04-01,other,,16.76%,891xx,NV,< 1 year,0.0
30000.0,2016-04-01,major_purchase,,37.28%,344xx,FL,< 1 year,0.0
20000.0,2016-04-01,home_improvement,,12.78%,331xx,FL,< 1 year,0.0
25000.0,2016-04-01,home_improvement,,2.64%,104xx,NY,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,20.2%,913xx,CA,< 1 year,0.0
3000.0,2016-04-01,major_purchase,,0%,782xx,TX,< 1 year,0.0
6000.0,2016-04-01,car,,9.55%,382xx,TN,< 1 year,0.0
5000.0,2016-04-01,other,,45.44%,440xx,OH,5 years,0.0
